# Instructions and general help: Read first then read row 3 for what to include in each column,# Step 1: Pick a paper from one of the ecosystem spreadsheets.,"# Step 2: Change the dropdown under ""Data"" to ""data pulled"" and it will highlight that paper so no one else pulls data from it.","# Step 3: Copy the author, year, and title, then paste them in this sheet. Paste them into as many rows as there are waterbodies studied.",,"# For example, if a paper measured DNRA rates in two rivers and a reservoir, the author, year, and title will appear on three rows.",# Step 4: Enter the data separately for each waterbody where DNRA rates were measured.,"# When entering data, use underscores to separate words and don't use special characters (e.g., write umol with a u, not a mu, or R will have a hard time)","# Use all lowercase letters except for proper nouns and chemicals (e.g., NH4+)","# Make sure to fill out all fields. If something doesn't apply, write NA",,,"# Lat/long help: if listed in something other than decimal degrees, use this to convert: https://www.pgc.umn.edu/apps/convert/",# Make sure to plug the values you get into Google maps to verify it converted correctly,"# Lat/long will often be in the supplemental data. However, some papers won't report it at all.","# Since we're placing these on a world map, we don't have to be precise with lat/long.","# If they give a general location with a waterbody name, you can find the general vicinity of the study on a map.","# In Google Earth, hold your mouse over the spot and hit shift + ctrl + c to copy the lat/long.","# Go to Tools > Options and change to decimal degrees if it gives you degrees minutes seconds, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author,Year,Title,Waterbody_name,Subrep,Latitude_decimal_degrees,Longitude_decimal_degrees,State_or_province,Country,Ecosystem_type,Fig_3_rates,Fig_4_percent,Field_or_Lab,Study_duration,Natural_or_potential,Manipulation_type,Measurement_method,Measurement_quality,Data_reported,Number_rate_estimates,Replicates_total,DNRA_rate_min,DNRA_rate_max,DNRA_rate_mean,DNRA_rate_SE,DNRA_rate_SD,Units_DNRA_rate,Type_units,Units_based_on,DNRA_percent_removal_min,DNRA_percent_removal_max,DNRA_percent_removal_mean,DNRA_percent_removal_SE,DNRA_percent_removal_SD,Total_nitrate_removal_min,Total_nitrate_removal_max,Total_nitrate_removal_mean,Total_nitrate_removal_SE,Units_nitrate_removal,Dominant_controls,Percent_removal_data,Has_N2_N2O_data,Data_pulled_by,Help_or_fix,Notes,N2_N2O_rate_min,N2_N2O_rate_max,N2_N2O_rate_mean,N2_N2O_rate_SE,Units_N2_N2O_rate
Matheson and Sukias,2010,Nitrate removal processes in a constructed wetland treating drainage from dairy pasture,Unnamed_wetland,,-37.733333,175.583333,Waikato,New_Zealand,constructed_wetland,yes,yes,field,October_2006,potential,nitrate_addition,15N_nitrate_tracer,high,actual,3,,0,8.8,NA,NA,,mg_N_m-2_d-1,areal,,1.918047079,4.426559356,NA,NA,,NA,NA,NA,NA,NA,"nitrate_abundance,soil_oxidation",N2_N2O_data,yes,Aaron,,"Measured in overlying water, porewater 0–5 cm, and porewater 5–10 cm. DNRA was detected only in porewater 0–5 cm. Dominant controls are speculated on, but not measured. Reduction to N2 and N2O calculated by mass balance.",190,450,337,66,mg_N_m-2_d-1
Zhang et al.,2017,"Responses of dissimilatory nitrate reduction to ammonium and denitrification to plant presence, plant species and species richness in simulated vertical flow constructed wetlands",vertical_flow_microcosm_wetland,unvegetated,28.56666667,121.35,Zhejiang,China,constructed_wetland,yes,no,field,2015,potential,plant_species_addition,15N_tracing_technique,high,estimated,5,,NA,NA,20,2.5,NA,ug_N_g-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,plant_species,no,yes,Saraf,,NA,,,,,
Zhang et al.,2017,"Responses of dissimilatory nitrate reduction to ammonium and denitrification to plant presence, plant species and species richness in simulated vertical flow constructed wetlands",vertical_flow_microcosm_wetland,monovegetated_Iris pseudacorus,28.56666667,121.35,Zhejiang,China,constructed_wetland,yes,no,field,2015,potential,plant_species_addition,15N tracing technique,high,estimated,5,,NA,NA,32.5,2.6,NA,ug_N_g-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,plant_species,no,yes,Saraf,,NA,,,,,
Zhang et al.,2017,"Responses of dissimilatory nitrate reduction to ammonium and denitrification to plant presence, plant species and species richness in simulated vertical flow constructed wetlands",vertical_flow_microcosm_wetland,monovegetated_Canna glauca,28.56666667,121.35,Zhejiang,China,constructed_wetland,yes,no,field,2015,potential,plant_species_addition,15N tracing technique,high,estimated,5,,NA,NA,19.1,2.7,NA,ug_N_g-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,plant_species,no,yes,Saraf,,NA,,,,,
Zhang et al.,2017,"Responses of dissimilatory nitrate reduction to ammonium and denitrification to plant presence, plant species and species richness in simulated vertical flow constructed wetlands",vertical_flow_microcosm_wetland,monovegetated_Scirpus validus,28.56666667,121.35,Zhejiang,China,constructed_wetland,yes,no,field,2015,potential,plant_species_addition,15N tracing technique,high,estimated,5,,NA,NA,20,3.2,NA,ug_N_g-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,plant_species,no,yes,Saraf,,NA,,,,,
Zhang et al.,2017,"Responses of dissimilatory nitrate reduction to ammonium and denitrification to plant presence, plant species and species richness in simulated vertical flow constructed wetlands",vertical_flow_microcosm_wetland,monovegetated_Cyperus alternifolius,28.56666667,121.35,Zhejiang,China,constructed_wetland,yes,no,field,2015,potential,plant_species_addition,15N tracing technique,high,estimated,5,,NA,NA,14.39,2.9,NA,ug_N_g-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,plant_species,no,yes,Saraf,,NA,,,,,
Zhang et al.,2017,"Responses of dissimilatory nitrate reduction to ammonium and denitrification to plant presence, plant species and species richness in simulated vertical flow constructed wetlands",vertical_flow_microcosm_wetland,monovegetated_Avg,28.56666667,121.35,Zhejiang,China,constructed_wetland,yes,no,field,2015,potential,plant_species_addition,15N tracing technique,high,estimated,5,,NA,NA,25.29,3.1,NA,ug_N_g-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,plant_species,no,yes,Saraf,,NA,,,,,
Zhang et al.,2017,"Responses of dissimilatory nitrate reduction to ammonium and denitrification to plant presence, plant species and species richness in simulated vertical flow constructed wetlands",vertical_flow_microcosm_wetland,polyvegetated_with_four_species,28.56666667,121.35,Zhejiang,China,constructed_wetland,yes,no,field,2015,potential,plant_species_addition,15N_tracing_technique,high,estimated,5,,NA,NA,38.12,3.2,NA,ug_N_g-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,plant_species,no,yes,Saraf,,NA,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact_core_inlet_05_2015,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact core_midpoint_05_2015,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,help -not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact_core_outlet_05_2015,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact_core_inlet_08_2015,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,87,30,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact_core_midpoint_08_2015,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,22,7,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact_core_outlet_08_2015,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,48,13,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact_core_inlet_01_2016,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,11,10.5,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact_core_midpoint_01_2016,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,12,0.5,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_intact_core_outlet_01_2016,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,3,0.5,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,cascades_on_clyde_wetland_intact_core_inlet_04_2015,,-38.101676,145.326825,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,62,18,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,cascades_on_clyde_wetland_intact core_midpoint_04_2015,,-38.101676,145.326825,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,85,20,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,cascades_on_clyde_wetland_intact_core_outlet_04_2015,,-38.101676,145.326825,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,140,40,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,cascades_on_clyde_wetland_intact_core_inlet_09_2015,,-38.101676,145.326825,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,139,38,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,cascades_on_clyde_wetland_intact_core_midpoint_09_2015,,-38.101676,145.326825,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,11,9,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,cascades_on_clyde_wetland_intact_core_outlet_09_2015,,-38.101676,145.326825,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,125,50,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,cascades_on_clyde_wetland_intact_core_inlet_02_2016,,-38.101676,145.326825,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,41,10,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,cascades_on_clyde_wetland_intact_core_midpoint_02_2016,,-38.101676,145.326825,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,25,10,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,cascades_on_clyde_wetland_intact_core_outlet_02_2016,,-38.101676,145.326825,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,2.2,0.5,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,koolamara_blvd_wetland_intact_core_inlet_04_2015,,-37.898664,145.279795,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,67,60,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,koolamara_blvd_wetland_intact core_midpoint_04_2015,,-37.898664,145.279795,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,85,60,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,koolamara_blvd_wetland_intact_core_outlet_04_2015,,-37.898664,145.279795,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,11,8,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,koolamara_blvd_wetland_intact_core_inlet_08_2015,,-37.898664,145.279795,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,40,20,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,koolamara_blvd_wetland_intact_core_midpoint_08_2015,,-37.898664,145.279795,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,22,2,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,koolamara_blvd_wetland_intact_core_outlet_08_2015,,-37.898664,145.279795,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,23,3,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,koolamara_blvd_wetland_intact_core_inlet_02_2016,,-37.898664,145.279795,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,64,30,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,koolamara_blvd_wetland_intact_core_midpoint_02_2016,,-37.898664,145.279795,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,63,27,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,koolamara_blvd_wetland_intact_core_outlet_02_2016,,-37.898664,145.279795,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,25,10,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,namatjira_reserve_wetland_intact_core_inlet_05_2015,,-37.935064,145.112558,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,102,27,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,namatjira_reserve_wetland_intact core_midpoint_05_2015,,-37.935064,145.112558,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,5,1.5,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,namatjira_reserve_wetland_intact_core_outlet_05_2015,,-37.935064,145.112558,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,113,25,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,namatjira_reserve_wetland_intact_core_inlet_09_2015,,-37.935064,145.112558,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,86,25,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,namatjira_reserve_wetland_intact_core_midpoint_09_2015,,-37.935064,145.112558,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,24,1.5,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,namatjira_reserve_wetland_intact_core_outlet_09_2015,,-37.935064,145.112558,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,77,30,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,namatjira_reserve_wetland_intact_core_inlet_01_2016,,-37.935064,145.112558,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,2.5,1.7,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,namatjira_reserve_wetland_intact_core_midpoint_01_2016,,-37.935064,145.112558,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,2,0.2,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,namatjira_reserve_wetland_intact_core_outlet_01_2016,,-37.935064,145.112558,Melbourne,Australia,constructed_wetland,,no,field,April_2015_to_February_2016,natural,NA,isotope_pairing_technique,high,estimated,4,,NA,NA,1.8,0.4,,umol_14NH4+_m-2_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
Rahman et al.,2019,Factors controlling dissimilatory nitrate reduction processes in constructed stormwater urban wetlands,huntingdale_road_wetland_slurry_sample_inlet_01_2016,,-37.893445,145.108504,Melbourne,Australia,constructed_wetland,,no,Lab,December_2014_to_February_2016,potential,15N-NO3-1_addition,isotope_pairing_technique,high,estimated,4,,NA,NA,4.9,0.1,,umol_15NH4+_L-1_slurry_h-1,not_comparable,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,temperature_porewater_Fe2+_chl-a_and_silt content,no,yes,Saraf,Help-not sure lab or field test,Data are presented through bar charts no direct value_so estimated from graphs,,,,,
