# Instructions and general help: Read first then read row 3 for what to include in each column,# Step 1: Pick a paper from one of the ecosystem spreadsheets.,"# Step 2: Change the dropdown under ""Data"" to ""data pulled"" and it will highlight that paper so no one else pulls data from it.","# Step 3: Copy the author, year, and title, then paste them in this sheet. Paste them into as many rows as there are waterbodies studied.",,"# For example, if a paper measured DNRA rates in two rivers and a reservoir, the author, year, and title will appear on three rows.",# Step 4: Enter the data separately for each waterbody where DNRA rates were measured.,"# When entering data, use underscores to separate words and don't use special characters (e.g., write umol with a u, not a mu, or R will have a hard time)","# Use all lowercase letters except for proper nouns and chemicals (e.g., NH4+)","# Make sure to fill out all fields. If something doesn't apply, write NA",,,"# Lat/long help: if listed in something other than decimal degrees, use this to convert: https://www.pgc.umn.edu/apps/convert/",# Make sure to plug the values you get into Google maps to verify it converted correctly,"# Lat/long will often be in the supplemental data. However, some papers won't report it at all.","# Since we're placing these on a world map, we don't have to be precise with lat/long.","# If they give a general location with a waterbody name, you can find the general vicinity of the study on a map.","# In Google Earth, hold your mouse over the spot and hit shift + ctrl + c to copy the lat/long.","# Go to Tools > Options and change to decimal degrees if it gives you degrees minutes seconds, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author,Year,Title,Waterbody_name,Subrep,Latitude_decimal_degrees,Longitude_decimal_degrees,State_or_province,Country,Ecosystem_type,Fig_3_rates,Fig_4_percent,Field_or_Lab,Study_duration,Natural_or_potential,Manipulation_type,Measurement_method,Measurement_quality,Data_reported,Number_rate_estimates,Replicates_total,DNRA_rate_min,DNRA_rate_max,DNRA_rate_mean,DNRA_rate_SE,DNRA_rate_SD,Units_DNRA_rate,Type_units,Units_based_on,DNRA_percent_removal_min,DNRA_percent_removal_max,DNRA_percent_removal_mean,DNRA_percent_removal_SE,DNRA_percent_removal_SD,Total_nitrate_removal_min,Total_nitrate_removal_max,Total_nitrate_removal_mean,Total_nitrate_removal_SE,Units_nitrate_removal,Dominant_controls,Percent_removal_data,Has_N2_N2O_data,Data_pulled_by,Help_or_fix,Notes,N2_N2O_rate_min,N2_N2O_rate_max,N2_N2O_rate_mean,N2_N2O_rate_SE,Units_N2_N2O_rate
Bengtsson and Annadotter,1989,NA,NA,,NA,NA,NA,Sweden,aquifer_Burgin-2007,,no,NA,NA,NA,NA,15N-assay,high,actual,NA,,NA,NA,NA,NA,,NA,NA,,22,60,NA,NA,,NA,NA,NA,NA,NA,NA,DNRA_percent_data,NA,Aaron,NA,Data used to make Figure 2 (% DNRA across a variety of ecosystems) in Burgin and Hamilton 2007.,NA,NA,NA,NA,NA
Buresh and Patrick,1978,NA,NA,,NA,NA,Louisiana,USA,rice-paddy_Burgin-2007,,yes,NA,NA,NA,NA,15N-assay,high,actual,NA,,NA,NA,NA,NA,,NA,NA,,1,56,NA,NA,,NA,NA,NA,NA,NA,NA,DNRA_percent_data,NA,Aaron,NA,Data used to make Figure 2 (% DNRA across a variety of ecosystems) in Burgin and Hamilton 2007.,NA,NA,NA,NA,NA
Yin et al.,2002,NA,NA,,NA,NA,NA,China,rice-paddy_Burgin-2007,,yes,NA,NA,NA,NA,15N-assay,high,actual,NA,,NA,NA,NA,NA,,NA,NA,,4,12,NA,NA,,NA,NA,NA,NA,NA,NA,DNRA_percent_data,NA,Aaron,NA,Data used to make Figure 2 (% DNRA across a variety of ecosystems) in Burgin and Hamilton 2007.,NA,NA,NA,NA,NA
Unknown,,NA,NA,,NA,NA,,New_Zealand,riparian_wetland_Burgin-2007,,yes,NA,NA,NA,NA,15N-assay,high,estimated,NA,,NA,NA,NA,NA,,NA,NA,,48,52,NA,NA,,NA,NA,NA,NA,NA,NA,DNRA_percent_data,NA,Aaron,NA,Data used to make Figure 2 (% DNRA across a variety of ecosystems) in Burgin and Hamilton 2007.,NA,NA,NA,NA,NA
Jahangir et al.,2017,In situ denitrification and DNRA rates in groundwater beneath an integrated constructed wetland,unnamed_wetland_groundwater,high-nutrient_shallow,52.174012,-7.259888,Munster,Ireland,constructed_wetland_groundwater,no,no,field,March_2014_to_May_2014,natural,NA,15N-enriched_nitrate-N_push-pull,high,actual,3,,NA,NA,2277,898,,ug_N_kg-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,N2_N2O_data,yes,Aaron,NA,"Shallow = 1 m below surface. Site used to treat municipal wastewater. Reported total nitrate removal, but includes all removal, not just dissimilatory. Mentioned high C concentration and high TC/NO₃⁻-N ratio in a reducing environment as the dominant control, but this was a hypothesis based on other studies and not measured.",NA,NA,1063,241,ug_N_kg-1_d-1
Jahangir et al.,2017,In situ denitrification and DNRA rates in groundwater beneath an integrated constructed wetland,unnamed_wetland_groundwater,low-nutrient_shallow,52.174012,-7.259888,Munster,Ireland,constructed_wetland_groundwater,no,no,field,March_2014_to_May_2014,natural,NA,15N-enriched_nitrate-N_push-pull,high,actual,3,,NA,NA,1448,375,,ug_N_kg-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,N2_N2O_data,yes,Aaron,NA,"Shallow = 1 m below surface. Site used to treat municipal wastewater. Total nitrate removal includes all removal, not just dissimilatory. Mentioned high C concentration and high TC/NO₃⁻-N ratio in a reducing environment as the dominant control, but this was a hypothesis based on other studies and not measured.",NA,NA,123,38,ug_N_kg-1_d-1
Jahangir et al.,2017,In situ denitrification and DNRA rates in groundwater beneath an integrated constructed wetland,unnamed_wetland_groundwater,high-nutrient_deep,52.174012,-7.259888,Munster,Ireland,constructed_wetland_groundwater,no,no,field,March_2014_to_May_2014,natural,NA,15N-enriched_nitrate-N_push-pull,high,actual,3,,NA,NA,804,440,,ug_N_kg-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,N2_N2O_data,yes,Aaron,NA,"Deep = 4 m below surface. Site used to treat municipal wastewater. Total nitrate removal includes all removal, not just dissimilatory. Mentioned high C concentration and high TC/NO₃⁻-N ratio in a reducing environment as the dominant control, but this was a hypothesis based on other studies and not measured.",NA,NA,341,128,ug_N_kg-1_d-1
Jahangir et al.,2017,In situ denitrification and DNRA rates in groundwater beneath an integrated constructed wetland,unnamed_wetland_groundwater,low-nutrient_deep,52.174012,-7.259888,Munster,Ireland,constructed_wetland_groundwater,no,no,field,March_2014_to_May_2014,natural,NA,15N-enriched_nitrate-N_push-pull,high,actual,3,,NA,NA,738,201,,ug_N_kg-1_d-1,mass,sediment_dry_wt,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,N2_N2O_data,yes,Aaron,NA,"Deep = 4 m below surface. Site used to treat municipal wastewater. Total nitrate removal includes all removal, not just dissimilatory. Mentioned high C concentration and high TC/NO₃⁻-N ratio in a reducing environment as the dominant control, but this was a hypothesis based on other studies and not measured.",NA,NA,218,192,ug_N_kg-1_d-1
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Turkey Marsh,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,"Doesn't appear to have actual DNRA rates. Instead they added nitrate to the water, measured NO3- dissapearance rates, and infered which processes were taking place based on increases/decreases in H2S, SO42-, and NH4+ concentrations. Also, note that most sites are lakes, but it seems like sampling took place in the wetlands along the lake perimiters ",,,,,
Payne et al.,2009,Sediment nitrate manipulation using porewater equilibrators reveals potential for N and S coupling in freshwaters,Loosestrife Pond ,,42.40644168,-85.4023262,Michigan,USA,wetland,,no,field,2008,potential,nitrate_addition,NA,,,NA,,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,unknown,,Garrett,,"Doesn't appear to have actual DNRA rates. Instead they added nitrate to the water, measured NO3- dissapearance rates, and infered which processes were taking place based on increases/decreases in H2S, SO42-, and NH4+ concentrations. Also, note that most sites are lakes, but it seems like sampling took place in the wetlands along the lake perimiters ",,,,,
